S	Spring 2017	ANCH 030 01	Ancient History	ANCH	030	01	Hstry/Archaeology Roman Empire	1	TTH 02:40pm-03:55pm	Trotter Hall 215|Trotter Hall 215	T|TH	02:40pm|02:40pm	TROT|TROT	215|215		Evans, M		CRN: 26289 ENR LIM: 15 CUR ENR: 8 DIST: SS	http://www.swarthmore.edu/cc_classics.xml#ANCH_030	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/classics.xml	Department Homepage
S	Spring 2017	ANTH 032D 01	Anthropology	ANTH	032D	01	Mass Media & Anthropology (T)	1	TTH 09:55am-11:10am	Kohlberg 228|Kohlberg 228	T|TH	09:55am|09:55am	KOHL|KOHL	228|228		Nadkarni, M		CRN: 26035 ENR LIM: 35 CUR ENR: 23 DIST: SS<br>Eligible for INTP program.	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_032D	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 043E 01	Anthropology	ANTH	043E	01	Culture,Health, Illness (T)	1	TTH 02:40pm-03:55pm	Kohlberg 228|Kohlberg 228	T|TH	02:40pm|02:40pm	KOHL|KOHL	228|228		Schuetze, C		CRN: 26038 ENR LIM: 35 CUR ENR: 23 DIST: SS	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_043E	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 049B 01	Anthropology	ANTH	049B	01	Comparative Perspectives-Body	1	TTH 11:20am-12:35pm	Kohlberg 228|Kohlberg 228	T|TH	11:20am|11:20am	KOHL|KOHL	228|228		Ghannam, F		CRN: 26036 ENR LIM: 35 CUR ENR: 29 DIST: SS<br>Eligible for GSST or INTP program.	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_049B	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 049B 02	Anthropology	ANTH	049B	02	Comparative Perspectives-Body	1	TTH 07:00pm-08:15pm	Kohlberg 228|Kohlberg 228	T|TH	07:00pm|07:00pm	KOHL|KOHL	228|228		Ghannam, F		CRN: 26303 ENR LIM: 35 CUR ENR: 27 DIST: SS	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_049B	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 049BA 01	Anthropology	ANTH	049BA	01	Comparative Persp-Body- Attach	1								Ghannam, F		CRN: 26275 ENR LIM: 25 CUR ENR: 3 DIST: SS	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_049BA	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 103 A	Anthropology	ANTH	103	A	Humanitarianism: Anth Appr (1)	1	W 01:15pm-04:00pm	Kohlberg 226	W	01:15pm	KOHL	226	SEM W 01:15pm KOHL 226	Atshan, S		CRN: 25635 ENR LIM: 12 CUR ENR: 2 DIST: SS<br>Double-graded seminar. BOTH SECTIONS required.<br>Eligible for PEAC program. Cross-listed with PEAC 103.	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_103	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 103 B	Anthropology	ANTH	103	B	Humanitarianism: Anth Appr (2)	1	W 01:15pm-04:00pm	Kohlberg 226	W	01:15pm	KOHL	226		Atshan, S		CRN: 25636 ENR LIM: 12 CUR ENR: 2 DIST: SS<br>Double-graded seminar. BOTH SECTIONS required.	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_103	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 133 A	Anthropology	ANTH	133	A	Anthropology of Biomedicine(1)	1	M 01:15pm-04:00pm	Kohlberg 236	M	01:15pm	KOHL	236	SEM M 01:15pm KOHL 236	Schuetze, C		CRN: 26033 ENR LIM: 12 CUR ENR: 11 DIST: SS<br>Double-graded seminar. BOTH SECTIONS required.	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_133	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ANTH 133 B	Anthropology	ANTH	133	B	Anthropology of Biomedicine(2)	1	M 01:15pm-04:00pm	Kohlberg 236	M	01:15pm	KOHL	236		Schuetze, C		CRN: 26034 ENR LIM: 12 CUR ENR: 11 DIST: SS<br>Double-graded seminar. BOTH SECTIONS required.	http://www.swarthmore.edu/cc_sociologyanthropology.xml#ANTH_133	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/socanth.xml	Department Homepage
S	Spring 2017	ARAB 002 01	Arabic	ARAB	002	01	Intensive Elem Mod Stnd Arabic	1.5	TTH 08:30am-09:45am	Kohlberg 114|Kohlberg 114	T|TH	08:30am|08:30am	KOHL|KOHL	114|114		Smith, B		CRN: 25816 ENR LIM: 20 CUR ENR: 8 DIST: HU<br>Accelerated w/extra credit.<br>Students must register for one drill section A or B below.	http://www.swarthmore.edu/cc_arabic.xml#ARAB_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 002 02	Arabic	ARAB	002	02	Intensive Elem Mod Stnd Arabic	1.5	TTH 09:55am-11:10am	Kohlberg 114|Kohlberg 114	T|TH	09:55am|09:55am	KOHL|KOHL	114|114		Smith, B		CRN: 24546 ENR LIM: 20 CUR ENR: 11 DIST: HU<br>Accelerated w/extra credit.<br>Students must register for one drill section A or B below.	http://www.swarthmore.edu/cc_arabic.xml#ARAB_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 002 A	Arabic	ARAB	002	A	IntensElemModStnd Arabic-Drill	0	MWF 09:30am-10:20am	Kohlberg 114|Kohlberg 114|Kohlberg 114	M|W|F	09:30am|09:30am|09:30am	KOHL|KOHL|KOHL	114|114|114	DRILL M 09:30am KOHL 114|DRILL W 09:30am KOHL 114|DRILL F 09:30am KOHL 114	Hanna, D		CRN: 24547 ENR LIM: 15 CUR ENR: 7	http://www.swarthmore.edu/cc_arabic.xml#ARAB_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 002 B	Arabic	ARAB	002	B	IntensElemModStnd Arabic-Drill	0	MWF 10:30am-11:20am	Kohlberg 114|Kohlberg 114|Kohlberg 114	M|W|F	10:30am|10:30am|10:30am	KOHL|KOHL|KOHL	114|114|114	DRILL M 10:30am KOHL 114|DRILL W 10:30am KOHL 114|DRILL F 10:30am KOHL 114	Hanna, D		CRN: 24548 ENR LIM: 15 CUR ENR: 12	http://www.swarthmore.edu/cc_arabic.xml#ARAB_002	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 004 01	Arabic	ARAB	004	01	Intermed Mod Stand Arabic II	1.5	TTH 11:20am-12:35pm	Kohlberg 334|Kohlberg 334	T|TH	11:20am|11:20am	KOHL|KOHL	334|334		Smith, B		CRN: 23539 ENR LIM: 20 CUR ENR: 11 DIST: HU<br>Acceler w/extra cred. Register for drill section A below.<br>Prereq ARAB 003 or permis of dept. Eligible for ISLM prog.	http://www.swarthmore.edu/cc_arabic.xml#ARAB_004	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 004 A	Arabic	ARAB	004	A	IntemModStndArabic II-Drill	0	MWF 11:30am-12:20pm	Kohlberg 334|Kohlberg 334|Kohlberg 334	M|W|F	11:30am|11:30am|11:30am	KOHL|KOHL|KOHL	334|334|334	DRILL M 11:30am KOHL 334|DRILL W 11:30am KOHL 334|DRILL F 11:30am KOHL 334	Hanna, D		CRN: 23545 ENR LIM: 20 CUR ENR: 11	http://www.swarthmore.edu/cc_arabic.xml#ARAB_004	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 012 01	Arabic	ARAB	012	01	Advanced Arabic II	1	TTH 09:55am-11:10am	Kohlberg 334|Kohlberg 334	T|TH	09:55am|09:55am	KOHL|KOHL	334|334		Al-Masri, K		CRN: 24168 ENR LIM: 20 CUR ENR: 4 DIST: HU<br>Eligible for ISLM program.	http://www.swarthmore.edu/cc_arabic.xml#ARAB_012	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 012A 01	Arabic	ARAB	012A	01	Advanced Arabic Conversation	.5	M 01:15pm-02:30pm	Kohlberg 114	M	01:15pm	KOHL	114		Hanna, D		CRN: 26231 ENR LIM: 15 CUR ENR: 4<br>Eligible for ISLM program.	http://www.swarthmore.edu/cc_arabic.xml#ARAB_012A	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 022 01	Arabic	ARAB	022	01	Oppression in Arabic Fiction	1	T 06:00pm-09:00pm	Kohlberg 334	T	06:00pm	KOHL	334		Al-Masri, K		CRN: 26232 ENR LIM: 20 CUR ENR: 4 DIST: HU	http://www.swarthmore.edu/cc_arabic.xml#ARAB_022	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARAB 093 01	Arabic	ARAB	093	01	Directed Reading	1								Al-Masri, K		CRN: 26233 ENR LIM: 5 CUR ENR: 0<br>See Dept Admin Asst to register.	http://www.swarthmore.edu/cc_arabic.xml#ARAB_093	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/mll/arabic/	Department Homepage
S	Spring 2017	ARTH 001Q 01	Art History	ARTH	001Q	01	FYS: Caravaggio (W)	1	TTH 01:15pm-02:30pm	Beardsley 318|Beardsley 318	T|TH	01:15pm|01:15pm	BEARDS|BEARDS	318|318		Downey, E		CRN: 26091 ENR LIM: 12 CUR ENR: 5 DIST: HU, W	http://www.swarthmore.edu/cc_art.xml#ARTH_001Q	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 005 01	Art History	ARTH	005	01	Modern Art	1	MWF 09:30am-10:20am	Beardsley 316|Beardsley 316|Beardsley 316	M|W|F	09:30am|09:30am|09:30am	BEARDS|BEARDS|BEARDS	316|316|316		Hungerford, C		CRN: 26087 ENR LIM: 30 CUR ENR: 26 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_005	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 006 01	Art History	ARTH	006	01	Contemporary Art	1	TTH 11:20am-12:35pm	Beardsley 316|Beardsley 316	T|TH	11:20am|11:20am	BEARDS|BEARDS	316|316		Feliz, M		CRN: 26086 ENR LIM: 30 CUR ENR: 9 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_006	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
S	Spring 2017	ARTH 024 01	Art History	ARTH	024	01	Visualizing Africa/Ren Europe	1	W 01:15pm-04:00pm	Beardsley 318	W	01:15pm	BEARDS	318		Downey, E		CRN: 26089 ENR LIM: 12 CUR ENR: 9 DIST: HU	http://www.swarthmore.edu/cc_art.xml#ARTH_024	Course Catalogue link to course	http://bookstore.swarthmore.edu/	Book Prices	http://www.swarthmore.edu/Humanities/art/	Department Homepage
